iter	RMSE
0	3646.028144
1	5623.499215
2	5583.890259
3	5550.009
4	5517.052989
5	5489.675089
6	5446.292742
7	5424.464369
8	5402.110795
9	5383.570531
10	5368.497364
11	5353.10213
12	5326.054765
13	5312.934147
14	5288.13807
15	5277.862213
16	5269.322363
17	5261.569336
18	5253.76537
19	5228.637953
20	5222.315786
21	5216.391239
22	5212.048768
23	5207.199915
24	5183.8413
25	5179.495964
26	5172.964196
27	5170.542198
28	5166.796886
29	5163.11086
30	5159.762421
31	5157.14381
32	5153.372031
33	5150.103326
34	5147.695091
35	5145.09899
36	5142.227167
37	5140.932358
38	5138.002048
39	5135.292692
40	5133.896379
41	5131.593485
42	5131.026193
43	5129.979267
44	5128.949934
45	5127.971482
46	5125.05792
47	5123.244474
48	5121.760562
49	5099.720739
50	5098.289681
51	5096.848407
52	5078.967832
53	5076.938665
54	5076.000937
55	5055.530939
56	5043.185816
57	5042.106207
58	5040.894984
59	5039.596185
60	5037.182394
61	5036.062376
62	5032.376492
63	5031.464922
64	5030.370561
65	5029.362253
66	5028.270678
67	5025.967	51168	5009.968	51169	5008.769	51170	5004.770	51171	5004.71	5111.664109
72	5110.260333
73	5107.908578
74	5103.30435
75	5101.76	499776	5097.77	4995.504442
78	4976.064939
79	4973.878639
80	4972.993475
81	4972.283294
82	4970.135745
83	4968.858883
84	4966.789395
85	4966.707746
86	4951.673601
87	4932.99904
88	4932.526993
89	4932.006104
90	4931.571315
91	4926.213407
92	4909.985282
93	4908.437293
94	4907.674931
95	4906.228681
96	4904.943781
97	4904.278981
98	4902.589551
99	4902.229843
100	4884.381537
101	4882.274694
102	4881.060232
103	4879.872946
104	4879.222372
105	4878.113371
106	4875.977809
107	4875.562914
108	4874.022929
109	487109	4942.110	48110	4941.3111	48111	4938.3112	48112	4935.3113	4113	4935.02651
114	4924.727292
115	4901.779592
116	4898.990854
117	4896.544561
118	4889.95768
119	4889.550592
120	4887.849055
121	4884.912664
122	4883.245916
123	4880.698338
124	4878.250167
125	4875.75889
126	4853.038953
127	4848.555574
128	4847.171497
129	4844.858129
130	4844.306109
131	4842.927987
132	4841.701451
133	4839.245851
134	4816.829692
135	4794.551004
136	4772.501599
137	4750.519203
138	4749.145965
139	4747.769584
140	4726.142141	2499.161902
142	2497.070092
143	2494.93509
144	2492.653328
145	2145	4696.53146	2146	4694.41147	2147	4692.38148	2148	4690.47149	2149	4668.08150	2150	4665.97151	2151	4642.70152	2152	4621.70153	2153	4598.91154	2154	4591.74155	2155	4589.63156	2156	4569.17157	2157	4546.80158	2158	4524.68159	2159	4504.7160	24160	4503.8161	24161	4484.089668
162	4464.488408
163	4445.084109
164	4425.842326
165	4406.785797
166	4387.897521
167	4369.186087
168	4350.629681
169	4332.220054
170	4330.068283
171	4311.811368
172	4293.543782
173	4275.639788
174	4257.888226
175	4240.277976
176	4222.834504
177	4205.546497
178	4188.412184
179	4171.429339
180	4154.58793
181	4137.90943
182	4121.383261
183	4105.000957
184	4088.761387
185	4072.672189
186	4056.705648
187	4040.90178
188	4025.239038
189	4009.715486
190	3994.315429
191	3979.072012
192	3963.949806
193	3948.967048
194	3934.127322
195	3919.419557
196	3904.865313
197	3890.431894
198	3876.14586
199	3861.963527
200	3847.94218
201	3834.001878
202	3820.216289
203	3806.551548
204	3793.01863
205	3779.611323
206	3766.325936
207	3753.165324
208	3740.145306
209	3726.006004
210	3713.187156
211	3700.508541
212	3687.952363
213	3675.516429
214	3663.186872
215	3650.983805
216	3638.869378
217	3626.904704
218	3612.606375
219	3600.832326
220	3598.443324
221	3586.788923
222	3575.219725
223	3563.786571
224	3561.052641
225	3549.727995
226	3538.541381
227	3527.449935
228	3516.470537
229	3513.995230230	3503.1119231231	3500.7276232232	3489.9442233233	3487.47031
234	3481.655604
235	3471.008451
236	3468.715108
237	3466.527627
238	3464.203818
239	3453.632462
240	3451.350306
241	3449.112707
242	3438.617483
243	3428.228525
244	3417.947098
245	3415.837871
246	3413.76716
247	3411.733052
248	3409.618781
249	3407.540918
250	3405.596006
251	3403.695716
252	3401.812443
253	3399.958849
254	3398.136479
255	3387.879359
256	3386.071331
257	3384.284331
258	3382.524678
259	3372.342718
260	3371.34266
261	3369.608761
262	3368.573686
263	3367.357439
264	3357.248456
265	3356.29649
266	3354.586929
267	3352.616415
268	3351.185368
269	3341.170337
270	3333.190849
271	3331.54848
272	3329.991932
273	3328.286911
274	3326.520266
275	3324.945719
276	3315.056741
277	3305.271083
278	3295.596709
279	3294.022676
280	3284.439783
281	3282.882577
282	3273.39352
283	3271.783996
284	3271.091453
285	3263.821851
286	3262.058563
287	3252.708079
288	3250.99081
289	3249.3615929290	3240.0943929291	3230.0959129292	3229.2368829293	3219.664947
294	3212.76843
295	3211.839831
296	3202.487395
297	3200.903208
298	3192.045655
299	3185.680829
300	3176.934286
301	3168.283056
302	3159.73307
303	3153.5999043304	3152.73467
305	3144.186483
306	3142.038078
307	3140.394312308	2279.257309
309	2278.449843
3310	3132.5008763311	3127.0844493312	3125.6893093313	3124.37818
314	3122.582767
315	3121.281601
316	3119.551767
317	3118.270619
318	2271.200874
319	2270.610035
320	2269.847813
321	2268.970463
322	2268.393681
323	2267.7145832324	2267.0559032325	2266.3940932326	2265.4386132327	2264.02835328	3082.456374
329	3074.262012
33330	2262.0323633331	2261.4124033332	2260.7960233333	2260.1866334	3061.559222
335	3060.164609
336	3058.871639
337	3057.699579
338	3056.077634
339	3049.600666
340	3041.599664
341	3040.493253
342	3032.510117
343	3024.717025
344	3016.986335
345	3009.343406
346	3007.804636
347	3000.267747
348	2996.17578
349	2995.026658
350	2993.590868
351	2985.560273
352	2984.427665
353	2983.312922
354	2982.274008
355	2981.25153
356	2980.109542
357	2979.126052
358	2976.696274
359	2975.540544
360	2974.284496
361	2973.513823
362	2971.773507
363	2971.182418
364	2970.076136
365	2962.559065
366	2960.603465
367	2959.646238
368	2958.715039
369	2957.725146
370	2953.325227
371	2945.958533
372	2945.237726
373	2944.218811
374	2936.709525
375	2932.052219
376	2931.265432
377	2930.226552
378	2928.581285
379	2921.062845
380	2915.793473
381	2915.032089
382	2913.831293
383	2912.720967
384	2911.488928
385	2909.927135
386	2909.099107
387	2904.872318
388	2904.014751
389	2902.261921
390	2900.528168
391	2893.431612
392	2892.842469
393	2891.781905
394	2890.998822
395	2884.001584
396	2883.061574
397	2882.210616
398	2875.149341
399	2874.348439
400	2872.84131
401	2872.028699
402	2871.482743
403	2870.90835
404	2869.458113
405	2868.743369
406	2867.912899
407	2866.441411
408	2865.067545
409	2863.825901
410	2856.970889
411	2856.360443
412	2855.282045
413	2854.375204
414	2853.922815
415	2852.872991
416	2851.88011
417	2851.176971
418	2850.165688
419	2849.59853
420	2848.784049
421	2847.73952
422	2847.236711
423	2846.549201
424	2845.579236
425	2841.02812
426	2840.210862
427	2839.12297
428	2832.244071
429	2828.855153
430	2828.381677
431	2827.214915
432	2826.631185
433	2819.912175
434	2819.587413
435	2819.21564
436	2818.478493
437	2818.096615
438	2817.551372
439	2817.074312
440	2816.376434
441	2809.752589
442	2808.636923
443	2808.331237
444	2801.754977
445	2795.366304
446	2788.931002
447	2787.868594
448	2781.626922
449	2780.623844
450	2779.278136
451	2778.713654
452	2777.904242
453	2771.535089
454	2765.453139
455	2759.354496
456	2758.895114
457	2758.255639
458	2752.279753
459	2746.376564
460	2745.489443
461	2739.643085
462	2733.880234
463	2728.174985
464	2724.026182
465	2718.4211
466	2712.886227
467	2707.42805
468	2702.019235
469	2696.671551
470	2691.382474
471	2686.153476
472	2680.984959
473	2675.875598
474	2670.824517
475	2665.829574
476	2660.888307
477	2656.023332
478	2651.193663
479	2646.438538
480	2645.823176
481	2641.104422
482	2640.10607
483	2635.438666
484	2630.825177
485	2629.729986
486	2625.144606
487	2620.634172
488	2619.772612
489	2619.392544
490	2618.413795
491	2617.800979
492	2617.336726
493	2616.435351
494	2611.965946
495	2607.559522
496	2606.939961
497	2606.471888
498	2602.116988
499	2601.498049
500	2597.174939
501	2596.098293
502	2595.177739
503	2590.90496
504	2589.874465
505	2585.648516
506	2581.468173
507	2577.335549
508	2573.123794
509	2571.533921
510	2570.836797
511	2566.792104
512	2562.770723
513	2558.820653
514	2558.212086
515	2557.338058
516	2553.431935
517	2549.574694
518	2545.761908
519	2541.990076
520	2538.264131
521	2534.210767
522	2530.563881
523	2530.046541
524	2526.359649
525	2525.481079
526	2521.839623
527	2521.107184
528	2520.348704
529	2516.824602
530	2516.123364
531	2512.560997
532	2512.093302
533	2508.64846
534	2507.748914
535	2507.190792
536	2506.084344
537	2505.694797
538	2504.959069
539	2504.245713
540	2501.365267
541	2497.90248
542	2496.972435
543	2496.596902
544	2493.236808
545	2492.469526
546	2489.16595
547	2488.670549
548	2485.294642
549	2484.812973
550	2483.984693
551	2480.735744
552	2477.524307
553	2476.537284
554	2475.645618
555	2474.816121
556	2471.653019
557	2468.516984
558	2468.090478
559	2467.288822
560	2466.66187
561	2463.555936
562	2463.193865
563	2462.371028
564	2459.268597
565	2458.782887
566	2458.356756
567	2455.319761
568	2454.56682
569	2451.564538
570	2448.597765
571	2447.912991
572	2447.04586
573	2444.611841
574	2444.215738
575	2443.904857
576	2443.148396
577	2442.601542
578	2439.61186
579	2438.976975
580	2438.554613
581	2437.835312
582	2434.945697
583	2434.49444
584	2433.917147
585	2433.522314
586	2432.780378
587	2431.799932
588	2431.271321
589	2428.411141
590	2427.53185
591	2427.087649
592	2424.244809
593	2423.693421
594	2423.301608
595	2420.480799
596	2420.059235
597	2419.675549
598	2416.878654
599	2416.69483
59
