iter	Passed	Remaining
0	3	2308
1	7	2093
2	11	2261
3	14	2194
4	18	2257
5	23	2338
6	27	2304
7	32	2385
8	36	2365
9	39	2345
10	43	2319
11	49	2444
12	53	2419
13	57	2391
14	60	2354
15	65	2384
16	68	2352
17	71	2320
18	75	2295
19	80	2344
20	84	2334
21	88	2319
22	91	2304
23	95	2298
24	99	2286
25	103	2274
26	106	2268
27	110	2258
28	113	2242
29	117	2224
30	120	2207
31	123	2197
32	128	2203
33	132	2200
34	135	2185
35	138	2174
36	142	2172
37	146	2161
38	149	2148
39	152	2141
40	156	2128
41	160	2136
42	165	2147
43	169	2138
44	172	2128
45	176	2119
46	179	2116
47	183	2109
48	186	2101
49	190	2092
50	194	2088
51	198	2088
52	201	2084
53	206	2083
54	209	2079
55	213	2074
56	217	2069
57	221	2071
58	227	2085
59	231	2086
60	235	2083
61	242	2101
62	245	2093
63	249	2086
64	252	2078
65	257	2080
66	260	2072
67	264	2066
68	267	2060
69	271	2054
70	274	2044
71	278	2039
72	281	2034
73	286	2038
74	290	2033
75	293	2025
76	296	2014
77	299	2007
78	304	2005
79	307	1997
80	310	1991
81	314	1986
82	318	1986
83	322	1980
84	325	1975
85	329	1970
86	334	1970
87	337	1964
88	340	1957
89	344	1954
90	348	1948
91	352	1944
92	355	1939
93	358	1931
94	361	1924
95	365	1918
96	368	1911
97	371	1904
98	375	1898
99	378	1892
100	382	1888
101	385	1882
102	389	1878
103	392	1871
104	395	1863
105	398	1858
106	401	1851
107	405	1847
108	409	1842
109	412	1838
110	416	1835
111	419	1828
112	422	1822
113	426	1817
114	429	1811
115	432	1806
116	436	1801
117	439	1795
118	442	1790
119	447	1789
120	450	1783
121	453	1778
122	458	1776
123	461	1772
124	465	1768
125	469	1765
126	472	1759
127	475	1754
128	479	1750
129	482	1745
130	486	1740
131	489	1736
132	494	1735
133	498	1731
134	501	1726
135	504	1722
136	508	1717
137	511	1714
138	515	1709
139	518	1704
140	522	1701
141	528	1703
142	533	1706
143	537	1702
144	541	1698
145	545	1695
146	548	1691
147	552	1688
