iter	RMSE
0	5494.061607
1	5470.043261
2	5450.558305
3	5432.795987
4	5404.335667
5	5387.224321
6	5359.822238
7	5344.07396
8	5327.146889
9	5312.522584
10	5298.467805
11	5285.898799
12	5269.951607
13	5257.069557
14	5221.684086
15	5210.662496
16	5197.606319
17	5188.348894
18	5178.336814
19	5168.099777
20	5159.448557
21	5151.802655
22	5143.799624
23	5136.076333
24	5125.14256
25	5117.767137
26	5112.037689
27	5105.380752
28	5098.978728
29	5093.192327
30	5087.149866
31	5081.351635
32	5076.023261
33	5071.295019
34	5056.045315
35	5051.651702
36	5022.760048
37	5011.416446
38	5007.071404
39	5002.87695
40	4998.863868
41	4991.453685
42	4987.47059
43	4983.456875
44	4979.894591
45	4976.494082
46	4972.866167
47	4945.503798
48	4942.02726
49	4931.501196
50	4905.109769
51	4883.619412
52	4880.441828
53	4854.616064
54	4851.716238
55	4849.70183
56	4847.377387
57	4845.245986
58	4819.958103
59	4806.775093
60	4805.024171
61	4802.837464
62	4788.117684
63	4763.619113
64	4760.963347
65	4759.060422
66	4757.386513
67	4755.37525
68	4730.581409
69	4706.515508
70	4704.733349
71	4680.437778
72	4679.11852
73	4655.480759
74	4653.951722
75	4652.752068
76	4651.273678
77	4649.983011
78	4647.187196
79	4623.942273
80	4622.704037
81	4621.407011
82	4598.242889
83	4596.764624
84	4595.732433
85	4594.12105
86	4592.986039
87	4583.101718
88	4582.054946
89	4559.634697
90	4558.374802
91	4557.26307
92	4555.883433
93	4554.628276
94	4553.577914
95	4552.803054
96	4551.906968
97	4550.656453
98	4549.596923
99	4548.731045
100	4547.842223
101	4546.761427
102	4545.745453
103	4544.881128
104	4544.002579
105	4543.120279
106	4542.36617
107	4541.651056
108	4541.016214
109	4518.746865
110	4496.455954
111	4495.721037
112	4495.042302
113	4485.998101
114	4485.128234
115	4484.395684
116	4483.209919
117	4478.73214
118	4478.067722
119	4456.31979
120	4455.226033
121	4453.845988
122	4453.179731
123	4452.352973
124	4451.954988
125	4451.172288
126	4449.451097
127	4448.96135
128	4427.202641
129	4426.690243
130	4426.0873
131	4425.578669
132	4425.172129
133	4424.958572
134	4424.482196
135	4424.009241
136	4423.380123
137	4420.230493
138	4419.621962
139	4418.962834
140	4418.36101
141	4417.996451
142	4417.329273
143	4416.849795
144	4416.401475
145	4415.759705
146	4394.268069
147	4393.333492
148	4392.831351
149	4371.639953
150	4371.322351
151	4370.941538
152	4364.945956
153	4343.943654
154	4343.480475
155	4342.94847
156	4342.431936
157	4342.085824
158	4321.351735
159	4320.822351
160	4320.489985
161	4320.319837
162	4319.956324
163	4318.900918
164	4298.28318
165	4297.917495
166	4297.398268
167	4296.675357
168	4295.576393
169	4294.98145
170	4274.519997
171	4273.962393
172	4273.636567
173	4273.279274
174	4272.502409
175	4262.738494
176	4262.522125
177	4242.366251
178	4242.009766
179	4241.310692
180	4241.016177
181	4240.311819
182	4220.359169
183	4219.99544
184	4219.434696
185	4219.06595
186	4218.70363
187	4198.912824
188	4198.574559
189	4198.018604
190	4197.257259
191	4197.079375
192	4196.815038
193	4177.229535
194	4176.687877
195	4176.345639
196	4175.959221
197	4156.397678
198	4155.545416
199	4136.316716
200	4135.421388
201	4135.250268
202	4134.66909
203	4134.381835
204	4133.942913
205	4133.860499
206	4114.776856
207	4114.604784
208	4114.218488
209	4095.260572
210	4094.36634
211	4075.652629
212	4075.577755
213	4075.154822
214	4073.963561
215	4073.579218
216	4073.241296
217	4054.534123
218	4044.442397
219	4042.831098
220	4042.560624
221	4042.127011
222	4040.363034
223	4040.009971
224	4039.83804
225	4037.004825
226	4036.476931
227	4018.208803
228	4000.13016
229	3999.701129
230	3981.723048
231	3963.981567
232	3962.135017
233	3953.960263
234	3952.124871
235	3934.574168
236	3934.270448
237	3934.065439
238	3931.47007
239	3931.095994
240	3913.726903
241	3913.397022
242	3895.996929
243	3895.808904
244	3895.278793
245	3895.13872
246	3878.088372
247	3877.714594
248	3877.343373
249	3866.296332
250	3866.138691
251	3865.858245
252	3865.714603
253	3865.308597
254	3848.507259
255	3847.515144
256	3847.322514
257	3830.742436
258	3814.04517
259	3813.537729
260	3811.861482
261	3811.589167
262	3810.871753
263	3808.641494
264	3808.406073
265	3806.806157
266	3806.617231
267	3806.568912
268	3806.299864
269	3805.917166
270	3805.68087
271	3789.323413
272	3788.937853
273	3772.520541
274	3756.310713
275	3756.102798
276	3755.291079
277	3754.713145
278	3754.146832
279	3753.922321
280	3751.551676
281	3751.15385
282	3750.78587
283	3734.701806
284	3734.174696
285	3718.334873
286	3718.029072
287	3717.22943
288	3716.778611
289	3704.706557
290	3704.096428
291	3703.847092
292	3703.693522
293	3703.533731
294	3703.229421
295	3702.022626
296	3686.572492
297	3686.218647
298	3685.8879
299	3685.75853
300	3670.404901
301	3670.247732
302	3669.450217
303	3654.316576
304	3639.278401
305	3624.440389
306	3623.677613
307	3622.681327
308	3622.116068
309	3607.392665
310	3604.515408
311	3604.407174
312	3604.21038
313	3603.999499
314	3603.742338
315	3589.241024
316	3588.880028
317	3588.72636
318	3574.360637
319	3573.929507
320	3573.77233
321	3570.89358
322	3565.608508
323	3560.564476
324	3546.238404
325	3532.15029
326	3531.903379
327	3531.374131
328	3531.035014
329	3530.133087
330	3529.946481
331	3528.189869
332	3514.268697
333	3513.961364
334	3500.075898
335	3499.692541
336	3499.489075
337	3499.158622
338	3485.324077
339	3485.109707
340	3484.575128
341	3471.085244
342	3457.665961
343	3444.409121
344	3444.122114
345	3431.014543
346	3430.269623
347	3429.641037
348	3429.076715
349	3427.234178
873.578389
