iter	Passed	Remaining
0	175	61129
1	202	35294
2	217	25134
3	237	20559
4	269	18574
5	291	16702
6	340	16678
7	374	16024
8	406	15418
9	424	14437
10	450	13891
11	464	13082
12	478	12409
13	496	11916
14	518	11574
15	540	11281
16	569	11151
17	585	10792
18	603	10512
19	652	10760
20	685	10744
21	716	10678
22	733	10426
23	752	10225
24	779	10127
25	796	9919
26	804	9625
27	835	9603
28	852	9430
29	873	9313
30	893	9193
31	907	9017
32	923	8867
33	937	8712
34	969	8729
35	1008	8793
36	1028	8697
37	1055	8664
38	1074	8567
39	1107	8581
40	1124	8474
41	1136	8336
42	1154	8241
43	1170	8139
44	1183	8021
45	1202	7945
46	1219	7864
47	1236	7781
48	1252	7691
49	1267	7603
50	1286	7540
51	1299	7449
52	1317	7381
53	1332	7306
54	1349	7238
55	1379	7243
56	1396	7179
57	1416	7133
58	1432	7067
59	1450	7009
60	1472	6976
61	1496	6952
62	1517	6911
63	1531	6843
64	1548	6788
65	1562	6722
66	1579	6671
67	1594	6612
68	1609	6554
69	1628	6514
70	1644	6462
71	1660	6409
72	1678	6369
73	1696	6327
74	1711	6276
75	1731	6243
76	1747	6194
77	1761	6142
78	1776	6095
79	1789	6038
80	1800	5981
81	1814	5929
82	1826	5875
83	1839	5824
84	1851	5772
85	1864	5724
86	1879	5682
87	1899	5655
88	1912	5607
89	1926	5565
90	1937	5513
91	1948	5462
92	1959	5414
93	1970	5366
94	1982	5321
95	1994	5276
96	2008	5238
97	2020	5196
98	2032	5153
99	2059	5147
100	2087	5146
101	2109	5128
102	2127	5102
103	2154	5096
104	2179	5086
105	2193	5048
106	2206	5010
107	2218	4970
108	2228	4928
109	2241	4890
110	2257	4859
111	2270	4824
112	2282	4788
113	2297	4755
114	2310	4721
115	2323	4687
116	2337	4654
117	2351	4623
118	2365	4591
119	2381	4564
120	2394	4531
121	2407	4500
122	2422	4471
123	2436	4440
124	2448	4407
125	2472	4396
126	2485	4364
127	2499	4334
128	2512	4304
129	2526	4275
130	2544	4253
131	2557	4224
132	2570	4194
133	2579	4158
134	2592	4129
135	2605	4100
136	2619	4072
137	2635	4048
138	2649	4021
139	2664	3997
140	2679	3971
141	2694	3946
142	2708	3920
143	2722	3894
144	2736	3869
145	2750	3843
146	2763	3816
147	2778	3791
148	2791	3765
149	2804	3738
150	2818	3714
151	2829	3686
152	2843	3660
153	2855	3633
154	2867	3607
155	2879	3581
156	2892	3555
157	2903	3528
158	2916	3503
159	2928	3477
160	2940	3451
161	2947	3420
162	2959	3395
163	2970	3368
164	2981	3342
165	2992	3316
166	3005	3293
167	3016	3268
168	3033	3248
169	3050	3229
170	3066	3209
171	3087	3195
172	3107	3179
173	3121	3156
174	3149	3149
175	3177	3141
176	3193	3121
177	3225	3116
178	3243	3098
179	3270	3088
180	3278	3061
181	3290	3037
182	3302	3013
183	3312	2988
184	3323	2964
185	3335	2941
186	3347	2917
187	3360	2895
188	3373	2873
189	3384	2850
190	3396	2827
191	3413	2809
192	3427	2788
193	3445	2770
194	3460	2750
195	3472	2728
196	3486	2708
197	3506	2691
198	3522	2673
199	3541	2656
200	3558	2637
201	3570	2615
202	3579	2591
203	3590	2569
204	3607	2551
205	3616	2527
206	3628	2506
207	3639	2484
208	3657	2467
209	3669	2446
210	3679	2423
211	3693	2403
212	3701	2380
213	3712	2359
214	3726	2339
215	3742	2321
216	3771	2311
217	3786	2292
218	3804	2275
219	3825	2260
220	3843	2243
221	3862	2226
222	3876	2207
223	3889	2187
224	3896	2164
225	3909	2145
226	3921	2124
227	3934	2105
228	3945	2084
229	3957	2064
230	3970	2045
231	3982	2025
232	4011	2014
233	4044	2005
234	4058	1986
235	4067	1964
236	4086	1948
237	4102	1930
238	4115	1911
239	4128	1892
240	4144	1874
241	4158	1855
242	4170	1836
243	4182	1817
244	4197	1798
245	4209	1779
246	4224	1761
247	4236	1742
248	4249	1723
249	4263	1705
250	4274	1686
251	4299	1671
252	4323	1657
253	4342	1641
254	4362	1625
255	4392	1612
256	4412	1596
257	4441	1583
258	4457	1566
259	4473	1548
260	4489	1530
261	4503	1512
262	4515	1493
263	4527	1474
264	4540	1456
265	4554	1438
266	4566	1419
267	4574	1399
268	4586	1381
269	4598	1362
270	4610	1344
271	4620	1325
272	4635	1307
273	4647	1289
274	4660	1271
275	4672	1252
276	4684	1234
277	4698	1216
278	4710	1198
279	4723	1180
280	4736	1163
281	4750	1145
282	4763	1127
283	4775	1109
284	4788	1092
285	4802	1074
286	4814	1056
287	4830	1039
288	4842	1022
289	4853	1004
290	4867	986
291	4879	969
292	4890	951
293	4908	934
294	4921	917
295	4933	900
296	4945	882
297	4958	865
298	4971	847
299	4982	830
300	4993	812
301	5006	795
302	5018	778
303	5031	761
304	5042	743
305	5054	726
306	5068	709
307	5081	692
308	5096	676
309	5109	659
310	5122	642
311	5137	625
312	5152	609
313	5167	592
314	5182	575
315	5193	558
316	5217	543
317	5241	527
318	5268	511
319	5284	495
320	5316	480
321	5338	464
322	5355	447
323	5369	430
324	5383	414
325	5396	397
326	5409	380
327	5423	363
328	5435	346
329	5445	330
330	5455	313
331	5465	296
332	5478	279
333	5487	262
334	5497	246
335	5523	230
336	5538	213
337	5552	197
338	5567	180
339	5580	164
340	5602	147
341	5614	131
342	5628	114
343	5640	98
344	5654	81
345	5674	65
346	5687	49
347	5708	32
348	5725	16
349	5737	0
