n_features,ultima_feature,tratamento,modelo,transform,rmse,mae,mape,mdape,r2,status
1,metragem,std_median_ohe,DecisionTree,yeojohnson,1264325.392556336,650546.2731800056,49.38762486885442,34.18561856462271,0.42637149204844726,
1,metragem,minmax_mean_ohe,KNeighbors,none,1304608.4764189348,680131.814340056,50.72270275161481,33.63362204154503,0.38923604632936015,
1,metragem,minmax_mean_ohe,KNeighbors,yeojohnson,1301146.9953467397,679664.2936194646,50.675828838590576,33.65201433691757,0.39247279237043176,
1,metragem,minmax_mean_ohe,KNeighbors,log,1301146.9953467397,679664.2936194646,50.675828838590576,33.65201433691757,0.39247279237043176,
1,metragem,std_median_ohe,RandomForest,log,1215509.856967882,647663.8633038567,49.477634729375126,34.213149043080975,0.46981189983956906,
1,metragem,std_median_ohe,KNeighbors,boxcox,1301146.9953467397,679664.2936194646,50.675828838590576,33.65201433691757,0.39247279237043176,
1,metragem,minmax_mean_ohe,KNeighbors,boxcox,1301146.9953467397,679664.2936194646,50.675828838590576,33.65201433691757,0.39247279237043176,
1,metragem,std_median_ohe,RandomForest,boxcox,1215509.856967882,647663.8633038567,49.477634729375126,34.21314904308096,0.46981189983956906,
1,metragem,std_median_ohe,GradientBoosting,none,1238592.4118284183,655133.7873354519,50.308595209200035,35.1482163774106,0.44948413915158514,
1,metragem,std_median_ohe,GradientBoosting,yeojohnson,1230620.6634236716,653893.4431554233,50.271367272990894,35.14132087279463,0.45654772385598286,
1,metragem,std_median_ohe,GradientBoosting,sqrt,1230620.6634236716,653893.4431554233,50.271367272990894,35.14132087279463,0.45654772385598286,
1,metragem,std_median_ohe,GradientBoosting,boxcox,1230620.6634236716,653893.4431554233,50.271367272990894,35.14132087279463,0.45654772385598286,
1,metragem,std_median_ohe,KNeighbors,log,1301146.9953467397,679664.2936194646,50.675828838590576,33.65201433691757,0.39247279237043176,
1,metragem,raw_zero_ord,KNeighbors,yeojohnson,1301146.9953467397,679664.2936194646,50.675828838590576,33.65201433691757,0.39247279237043176,
1,metragem,raw_zero_ord,KNeighbors,log,1301146.9953467397,679664.2936194646,50.675828838590576,33.65201433691757,0.39247279237043176,
1,metragem,std_median_ohe,Linear,log,1367488.8085592822,777322.7474278879,75.48363765851084,50.257312941897204,0.3289412130426689,
1,metragem,std_median_ohe,KNeighbors,none,1304731.4476507178,680681.2886528386,50.727570082486814,33.65263482280431,0.3891209007714397,
1,metragem,std_median_ohe,Linear,sqrt,1529840.3114618375,841932.1182502432,85.39144730811682,60.13386681156199,0.16014326980153826,
1,metragem,minmax_mean_ohe,KNeighbors,sqrt,1301147.9729074133,679668.8964759923,50.67593098899865,33.65201433691757,0.39247187949136186,
1,metragem,minmax_mean_ohe,MLP,log,,,,,,timeout
1,metragem,minmax_mean_ohe,MLP,none,,,,,,timeout
1,metragem,raw_zero_ord,MLP,yeojohnson,,,,,,timeout
1,metragem,raw_zero_ord,MLP,none,,,,,,timeout
1,metragem,std_median_ohe,RandomForest,sqrt,1215493.9146648906,647652.7805560466,49.47739364028648,34.213149043080975,0.4698258073597046,
1,metragem,raw_zero_ord,KNeighbors,boxcox,1301146.9953467397,679664.2936194646,50.675828838590576,33.65201433691757,0.39247279237043176,
1,metragem,std_median_ohe,Linear,boxcox,1376807.4931500296,798869.658243995,81.19442300223216,51.99373541956353,0.3197642576926317,
1,metragem,minmax_mean_ohe,MLP,sqrt,,,,,,timeout
1,metragem,std_median_ohe,KNeighbors,sqrt,1301147.9729074133,679668.8964759923,50.67593098899865,33.65201433691757,0.39247187949136186,
1,metragem,raw_zero_ord,MLP,log,,,,,,timeout
1,metragem,raw_zero_ord,KNeighbors,sqrt,1301147.9729074133,679668.8964759923,50.67593098899865,33.65201433691757,0.39247187949136186,
1,metragem,std_median_ohe,MLP,none,,,,,,timeout
1,metragem,std_median_ohe,DecisionTree,none,1287870.8743352632,653005.3989964128,49.46125618711088,34.18561856462271,0.40480722724407114,
1,metragem,std_median_ohe,MLP,boxcox,,,,,,timeout
1,metragem,std_median_ohe,MLP,log,,,,,,timeout
