iter	RMSE
0	1389123.264
1	1320094.483
2	1253797.972
3	1197994.095
4	1149302.664
5	1103272.561
6	1061807.882
7	1026649.537
8	994370.5487
9	964105.1861
10	940536.4723
11	920778.3737
12	901860.1994
13	884492.9681
14	865655.9511
15	852770.8201
16	840739.6449
17	831231.3514
18	821166.4829
19	810834.8282
20	801266.9013
21	795075.6821
22	785502.1238
23	778528.178
24	770826.7592
25	760853.9705
26	752109.725
27	746470.0204
28	742493.9836
29	737509.1404
30	731994.9401
31	726744.253
32	722308.0168
33	716301.0162
34	712442.1309
35	706672.6942
36	702967.5879
37	699175.8721
38	695777.8702
39	691153.4717
40	685889.8351
41	682325.1244
42	677914.0892
43	674857.0561
44	670456.9664
45	666375.8642
46	663332.4941
47	659711.5622
48	656130.2762
49	653235.375
50	648639.5588
51	646625.2767
52	641265.9651
53	640128.6786
54	634040.1753
55	631870.5788
56	628638.4896
57	626885.4463
58	624144.0819
59	622309.3626
60	619026.1446
61	616752.6883
62	614317.038
63	611278.0033
64	609135.0833
65	605699.8523
66	603992.5434
67	601626.3025
68	599238.4251
69	596899.3533
70	594818.778
71	593296.0625
72	591372.3004
73	588954.2147
74	586361.5766
75	583712.0944
76	581254.0037
77	578881.8439
78	575701.0709
79	574130.5449
80	571671.0642
81	568978.0177
82	567099.1051
83	564701.438
84	562513.266
85	560853.0386
86	558228.2756
87	556734.3356
88	555654.4021
89	553329.0875
90	551735.0017
91	550325.7574
92	548447.427
93	546687.6028
94	545548.5393
95	543605.1
96	541875.5661
97	539617.6891
98	537930.9638
99	536957.9672
