iter	Passed	Remaining
0	77	7704
1	154	7589
2	218	7077
3	269	6477
4	335	6374
5	392	6142
6	461	6126
7	567	6526
8	630	6371
9	761	6849
10	845	6840
11	874	6411
12	928	6211
13	973	5981
14	1013	5740
15	1038	5450
16	1064	5195
17	1078	4913
18	1104	4710
19	1127	4511
20	1148	4319
21	1179	4181
22	1214	4067
23	1246	3946
24	1287	3861
25	1308	3724
26	1340	3623
27	1369	3521
28	1406	3444
29	1449	3381
30	1477	3288
31	1489	3165
32	1514	3075
33	1536	2982
34	1557	2891
35	1576	2802
36	1587	2703
37	1620	2643
38	1633	2555
39	1653	2480
40	1715	2469
41	1775	2452
42	1832	2429
43	1878	2390
44	1945	2377
45	1999	2347
46	2029	2288
47	2081	2254
48	2127	2214
49	2174	2174
50	2243	2155
51	2275	2100
52	2331	2067
53	2375	2023
54	2403	1966
55	2448	1923
56	2519	1900
57	2573	1863
58	2618	1819
59	2732	1821
60	2849	1821
61	2892	1772
62	2990	1756
63	3027	1702
64	3064	1649
65	3111	1602
66	3145	1549
67	3200	1505
68	3260	1465
69	3328	1426
70	3419	1396
71	3461	1346
72	3529	1305
73	3603	1266
74	3649	1216
75	3709	1171
76	3768	1125
77	3795	1070
78	3846	1022
79	3950	987
80	4056	951
81	4129	906
82	4198	859
83	4231	806
84	4267	753
85	4300	700
86	4348	649
87	4377	596
88	4420	546
89	4458	495
90	4536	448
91	4575	397
92	4628	348
93	4681	298
94	4749	249
95	4839	201
96	4920	152
97	4985	101
98	5084	51
99	5188	0
