run_name,modelo,tratamento,n_features,otimizacao,transform,scaler,imputer_num,encoder,feature_history_columns,feature_history_num_columns,feature_history_run_name,feature_transform_map,r2,rmse,mae,mape,mdape
RandomForest|std_median_ohe|log_metragem_2026_06,RandomForest,std_median_ohe,1,simples,log,StandardScaler,median,OneHotEncoder,metragem,1,RandomForest|std_median_ohe|log_metragem_2026_06,"{""metragem"": ""log""}",0.5739386587706379,701178.6081902096,361519.5951264487,38.13617890599753,24.35575720542905
RandomForest|std_median_ohe|sqrt_quartos_2026_06,RandomForest,std_median_ohe,2,simples,sqrt,StandardScaler,median,OneHotEncoder,"metragem,quartos",2,RandomForest|std_median_ohe|sqrt_quartos_2026_06,"{""metragem"": ""sqrt"", ""quartos"": ""sqrt""}",0.6730496702379789,614233.4771150762,337213.74596296943,35.59420999773328,22.531753935509215
GradientBoosting|std_median_ohe|none_banheiros_2026_06,GradientBoosting,std_median_ohe,3,simples,none,StandardScaler,median,OneHotEncoder,"metragem,quartos,banheiros",3,GradientBoosting|std_median_ohe|none_banheiros_2026_06,"{""metragem"": ""none"", ""quartos"": ""none"", ""banheiros"": ""none""}",0.6885022932375263,599542.5624891785,315863.5328133117,33.1143635378656,21.65541228430539
DecisionTree|std_median_ohe|sqrt_vagas_2026_06,DecisionTree,std_median_ohe,4,simples,sqrt,StandardScaler,median,OneHotEncoder,"metragem,quartos,banheiros,vagas",4,DecisionTree|std_median_ohe|sqrt_vagas_2026_06,"{""metragem"": ""sqrt"", ""quartos"": ""sqrt"", ""banheiros"": ""sqrt"", ""vagas"": ""sqrt""}",0.5647588888318738,708692.02906645,297463.93754447816,29.435196946984664,17.01081612586037
GradientBoosting|std_median_ohe|none_score_escola_privada_2026_06,GradientBoosting,std_median_ohe,5,simples,none,StandardScaler,median,OneHotEncoder,"metragem,quartos,banheiros,vagas,score_escola_privada",5,GradientBoosting|std_median_ohe|none_score_escola_privada_2026_06,"{""metragem"": ""none"", ""quartos"": ""none"", ""banheiros"": ""none"", ""vagas"": ""none"", ""score_escola_privada"": ""none""}",0.6682698425244564,618707.0580384262,290301.3540918063,30.04506041066068,18.437092480092467
GradientBoosting|std_median_ohe|sqrt_score_escola_publica_2026_06,GradientBoosting,std_median_ohe,6,simples,sqrt,StandardScaler,median,OneHotEncoder,"metragem,quartos,banheiros,vagas,score_escola_privada,score_escola_publica",6,GradientBoosting|std_median_ohe|sqrt_score_escola_publica_2026_06,"{""metragem"": ""sqrt"", ""quartos"": ""sqrt"", ""banheiros"": ""sqrt"", ""vagas"": ""sqrt"", ""score_escola_privada"": ""sqrt"", ""score_escola_publica"": ""sqrt""}",0.6611374787097802,625322.9411043074,276745.5402085504,28.657607285948117,17.375581170080963
KNeighbors|raw_zero_ord|log_score_hospitais_2026_06,KNeighbors,raw_zero_ord,7,simples,log,NoneType,constant,OrdinalEncoder,"metragem,quartos,banheiros,vagas,score_escola_privada,score_escola_publica,score_hospitais",7,KNeighbors|raw_zero_ord|log_score_hospitais_2026_06,"{""metragem"": ""log"", ""quartos"": ""log"", ""banheiros"": ""log"", ""vagas"": ""log"", ""score_escola_privada"": ""log"", ""score_escola_publica"": ""log"", ""score_hospitais"": ""log""}",0.6590365335992086,627258.4445042681,287584.8694907187,27.58388864492224,16.651213553018135
GradientBoosting|std_median_ohe|none_score_mercado_2026_06,GradientBoosting,std_median_ohe,8,simples,none,StandardScaler,median,OneHotEncoder,"metragem,quartos,banheiros,vagas,score_escola_privada,score_escola_publica,score_hospitais,score_mercado",8,GradientBoosting|std_median_ohe|none_score_mercado_2026_06,"{""metragem"": ""none"", ""quartos"": ""none"", ""banheiros"": ""none"", ""vagas"": ""none"", ""score_escola_privada"": ""none"", ""score_escola_publica"": ""none"", ""score_hospitais"": ""none"", ""score_mercado"": ""none""}",0.7206907682416557,567721.3646999263,260164.61745839874,26.807914877815886,16.552437603646787
GradientBoosting|std_median_ohe|yeojohnson_score_farmacia_2026_06,GradientBoosting,std_median_ohe,9,simples,yeojohnson,StandardScaler,median,OneHotEncoder,"metragem,quartos,banheiros,vagas,score_escola_privada,score_escola_publica,score_hospitais,score_mercado,score_farmacia",9,GradientBoosting|std_median_ohe|yeojohnson_score_farmacia_2026_06,"{""metragem"": ""yeojohnson"", ""quartos"": ""yeojohnson"", ""banheiros"": ""yeojohnson"", ""vagas"": ""yeojohnson"", ""score_escola_privada"": ""yeojohnson"", ""score_escola_publica"": ""yeojohnson"", ""score_hospitais"": ""yeojohnson"", ""score_mercado"": ""yeojohnson"", ""score_farmacia"": ""yeojohnson""}",0.7268433955301906,561433.6587663745,260632.41770028882,26.927076024624206,16.364872635183215
GradientBoosting|std_median_ohe|none_score_parque_2026_06,GradientBoosting,std_median_ohe,10,simples,none,StandardScaler,median,OneHotEncoder,"metragem,quartos,banheiros,vagas,score_escola_privada,score_escola_publica,score_hospitais,score_mercado,score_farmacia,score_parque",10,GradientBoosting|std_median_ohe|none_score_parque_2026_06,"{""metragem"": ""none"", ""quartos"": ""none"", ""banheiros"": ""none"", ""vagas"": ""none"", ""score_escola_privada"": ""none"", ""score_escola_publica"": ""none"", ""score_hospitais"": ""none"", ""score_mercado"": ""none"", ""score_farmacia"": ""none"", ""score_parque"": ""none""}",0.7374067470030965,550470.9115328128,256389.08939761508,26.616090075583408,16.31744184877533
GradientBoosting|std_median_ohe|log_score_seguranca_2026_06,GradientBoosting,std_median_ohe,11,simples,log,StandardScaler,median,OneHotEncoder,"metragem,quartos,banheiros,vagas,score_escola_privada,score_escola_publica,score_hospitais,score_mercado,score_farmacia,score_parque,score_seguranca",11,GradientBoosting|std_median_ohe|log_score_seguranca_2026_06,"{""metragem"": ""log"", ""quartos"": ""log"", ""banheiros"": ""log"", ""vagas"": ""log"", ""score_escola_privada"": ""log"", ""score_escola_publica"": ""log"", ""score_hospitais"": ""log"", ""score_mercado"": ""log"", ""score_farmacia"": ""log"", ""score_parque"": ""log"", ""score_seguranca"": ""log""}",0.7476542455132325,539623.1765804209,255662.93823947888,26.583411080465048,16.247113198906924
GradientBoosting|std_median_ohe|sqrt_score_educacao_2026_06,GradientBoosting,std_median_ohe,12,simples,sqrt,StandardScaler,median,OneHotEncoder,"metragem,quartos,banheiros,vagas,score_escola_privada,score_escola_publica,score_hospitais,score_mercado,score_farmacia,score_parque,score_seguranca,score_educacao",12,GradientBoosting|std_median_ohe|sqrt_score_educacao_2026_06,"{""metragem"": ""sqrt"", ""quartos"": ""sqrt"", ""banheiros"": ""sqrt"", ""vagas"": ""sqrt"", ""score_escola_privada"": ""sqrt"", ""score_escola_publica"": ""sqrt"", ""score_hospitais"": ""sqrt"", ""score_mercado"": ""sqrt"", ""score_farmacia"": ""sqrt"", ""score_parque"": ""sqrt"", ""score_seguranca"": ""sqrt"", ""score_educacao"": ""sqrt""}",0.7500660213324093,537038.2812865939,256432.024015959,26.314920816450783,16.163747655555298
GradientBoosting|std_median_ohe|sqrt_metro_quadrado_bairro_mean_2026_06,GradientBoosting,std_median_ohe,13,simples,sqrt,StandardScaler,median,OneHotEncoder,"metragem,quartos,banheiros,vagas,score_escola_privada,score_escola_publica,score_hospitais,score_mercado,score_farmacia,score_parque,score_seguranca,score_educacao,metro_quadrado_bairro_mean",13,GradientBoosting|std_median_ohe|sqrt_metro_quadrado_bairro_mean_2026_06,"{""metragem"": ""sqrt"", ""quartos"": ""sqrt"", ""banheiros"": ""sqrt"", ""vagas"": ""sqrt"", ""score_escola_privada"": ""sqrt"", ""score_escola_publica"": ""sqrt"", ""score_hospitais"": ""sqrt"", ""score_mercado"": ""sqrt"", ""score_farmacia"": ""sqrt"", ""score_parque"": ""sqrt"", ""score_seguranca"": ""sqrt"", ""score_educacao"": ""sqrt"", ""metro_quadrado_bairro_mean"": ""sqrt""}",0.7723586675630278,512528.65617794986,243639.38048453463,23.815199231875283,15.069891328274366
GradientBoosting|std_median_ohe|sqrt_metro_quadrado_bairro_median_2026_06,GradientBoosting,std_median_ohe,14,simples,sqrt,StandardScaler,median,OneHotEncoder,"metragem,quartos,banheiros,vagas,score_escola_privada,score_escola_publica,score_hospitais,score_mercado,score_farmacia,score_parque,score_seguranca,score_educacao,metro_quadrado_bairro_mean,metro_quadrado_bairro_median",14,GradientBoosting|std_median_ohe|sqrt_metro_quadrado_bairro_median_2026_06,"{""metragem"": ""sqrt"", ""quartos"": ""sqrt"", ""banheiros"": ""sqrt"", ""vagas"": ""sqrt"", ""score_escola_privada"": ""sqrt"", ""score_escola_publica"": ""sqrt"", ""score_hospitais"": ""sqrt"", ""score_mercado"": ""sqrt"", ""score_farmacia"": ""sqrt"", ""score_parque"": ""sqrt"", ""score_seguranca"": ""sqrt"", ""score_educacao"": ""sqrt"", ""metro_quadrado_bairro_mean"": ""sqrt"", ""metro_quadrado_bairro_median"": ""sqrt""}",0.7724013750021362,512480.5765676538,242540.55039424478,23.820486600631106,14.927463140626173
GradientBoosting|std_median_ohe|none_valor_bairro_mean_2026_06,GradientBoosting,std_median_ohe,15,simples,none,StandardScaler,median,OneHotEncoder,"metragem,quartos,banheiros,vagas,score_escola_privada,score_escola_publica,score_hospitais,score_mercado,score_farmacia,score_parque,score_seguranca,score_educacao,metro_quadrado_bairro_mean,metro_quadrado_bairro_median,valor_bairro_mean",15,GradientBoosting|std_median_ohe|none_valor_bairro_mean_2026_06,"{""metragem"": ""none"", ""quartos"": ""none"", ""banheiros"": ""none"", ""vagas"": ""none"", ""score_escola_privada"": ""none"", ""score_escola_publica"": ""none"", ""score_hospitais"": ""none"", ""score_mercado"": ""none"", ""score_farmacia"": ""none"", ""score_parque"": ""none"", ""score_seguranca"": ""none"", ""score_educacao"": ""none"", ""metro_quadrado_bairro_mean"": ""none"", ""metro_quadrado_bairro_median"": ""none"", ""valor_bairro_mean"": ""none""}",0.7895490176200239,492797.0184873224,240388.10286443637,23.489021228436886,15.000859537552847
