n_features,modelo,tratamento,transform,scaler,imputer_num,encoder,best_params,r2_original,rmse_original,mae_original,mape_original,mdape_original,r2_otimizado,rmse_otimizado,mae_otimizado,mape_otimizado,mdape_otimizado
1,GradientBoosting,std_median_ohe,log,StandardScaler,median,OneHotEncoder,"{""n_estimators"": 150, ""max_depth"": 8, ""learning_rate"": 0.09881684784087855, ""subsample"": 0.9041884732848728, ""min_samples_leaf"": 3}",0.5792344244396268,1111615.8462406837,483702.4356805276,50.16756001669827,27.577981968410477,0.5441100117056005,725308.2549884632,362725.9672247275,38.24264733571435,24.469417810001996
2,RandomForest,std_median_ohe,sqrt,StandardScaler,median,OneHotEncoder,"{""n_estimators"": 100, ""max_depth"": 14, ""min_samples_leaf"": 1, ""min_samples_split"": 3, ""max_features"": 0.7}",0.6730496702379789,614233.4771150762,337213.74596296943,35.59420999773328,22.531753935509187,0.668903083902689,618116.2494355533,334369.7654676086,35.168434304989894,22.521109902568835
3,GradientBoosting,std_median_ohe,none,StandardScaler,median,OneHotEncoder,"{""n_estimators"": 150, ""max_depth"": 4, ""learning_rate"": 0.10637644883946255, ""subsample"": 0.9828373753508931, ""min_samples_leaf"": 1}",0.6713514051842839,982427.5171945172,399231.6616410584,37.76758816468504,23.627610557377736,0.6957163548609686,592559.4083607587,323495.5081152681,34.12375347190043,22.224088890198757
4,GradientBoosting,std_median_ohe,none,StandardScaler,median,OneHotEncoder,"{""n_estimators"": 200, ""max_depth"": 4, ""learning_rate"": 0.05438143362520881, ""subsample"": 0.9799216637182281, ""min_samples_leaf"": 1}",0.6751600199756056,976718.3925510119,392211.0875012469,37.40409309152898,23.414964095159466,0.6712136145822228,615955.7386890181,333542.64657170617,35.354707998054934,22.946737879013824
5,RandomForest,std_median_ohe,yeojohnson,StandardScaler,median,OneHotEncoder,"{""n_estimators"": 100, ""max_depth"": 15, ""min_samples_leaf"": 2, ""min_samples_split"": 2, ""max_features"": ""sqrt""}",0.6164523530392948,1061314.9693326151,388054.01897157705,33.901696119128765,19.430944000513822,0.6913077463417778,596836.6150683545,287867.7675503305,29.69488982822487,17.693715685289824
6,RandomForest,std_median_ohe,yeojohnson,StandardScaler,median,OneHotEncoder,"{""n_estimators"": 100, ""max_depth"": 12, ""min_samples_leaf"": 2, ""min_samples_split"": 3, ""max_features"": ""sqrt""}",0.6325472459941309,1038808.2302144583,358366.2724826434,30.61341869754375,17.62963261059869,0.7400922608997242,547648.8734281553,270296.5301831969,27.640070222296607,17.263877342561067
7,GradientBoosting,std_median_ohe,none,StandardScaler,median,OneHotEncoder,"{""n_estimators"": 200, ""max_depth"": 8, ""learning_rate"": 0.015344633019181054, ""subsample"": 0.6157881832978126, ""min_samples_leaf"": 6}",0.6184982385438156,1058480.5989432528,354030.9581934746,30.90821326769054,18.32743991879656,0.7012919788774037,587105.3464698102,274336.83705345896,29.15703136133821,17.808500211206265
8,RandomForest,std_median_ohe,sqrt,StandardScaler,median,OneHotEncoder,"{""n_estimators"": 200, ""max_depth"": 17, ""min_samples_leaf"": 3, ""min_samples_split"": 3, ""max_features"": ""log2""}",0.6059771936058047,1075710.2537661137,351026.4933507562,29.28456680795572,16.566627934616633,0.737537493510126,550333.8533465535,252878.85785946393,25.456175705662158,14.57362007223622
9,RandomForest,std_median_ohe,yeojohnson,StandardScaler,median,OneHotEncoder,"{""n_estimators"": 100, ""max_depth"": 15, ""min_samples_leaf"": 3, ""min_samples_split"": 7, ""max_features"": 0.7}",0.6080459049226368,1072882.6730874146,348898.2312293364,29.05012885234482,16.43966866401453,0.7302462195582768,557925.694635428,248253.3703234722,25.192221864633645,14.138489283451907
10,RandomForest,std_median_ohe,log,StandardScaler,median,OneHotEncoder,"{""n_estimators"": 200, ""max_depth"": 15, ""min_samples_leaf"": 3, ""min_samples_split"": 3, ""max_features"": 0.7}",0.6115046174977739,1068138.4754535998,346378.2555748233,28.783083906970692,16.266717241816618,0.7142931422959007,574186.4311377944,247487.37695312075,25.315282118224967,13.999812597499458
