iter	RMSE
0	2876.175769
1	2739.461379
2	2614.262714
3	2507.408326
4	2412.949555
5	2335.370612
6	2265.28159
7	2203.42417988	2153.63251999	2106.84699
10	2076.824571
11	2043.766337
12	2016.210686
13	1991.938235
14	1965.672774
15	1944.139274116	1926.745947117	1908.596593118	1894.929402119	1884.483567220	1873.288753221	1863.85801
22	1853.914317
23	1861.483382
24	1836.509398
25	1829.654105
26	1824.526847
27	1819.084652
28	1812.435094
29	1807.6773
30	1802.637558
31	1797.838
32	1793.719725
33	1787.645736
34	1782.922385
35	1779.760486
36	1776.711532
37	1772.713332
38	1769.30751
39	1764.587345
40	1760.8677
41	1758.502507
42	1755.77809
43	1752.305972
44	1750.56941
45	1746.480301
46	1743.981787
47	1741.593311
48	1739.479509
49	1737.165389
50	1733.300469
51	1730.957673
52	1728.801358
53	1725.292149
54	1723.275228
55	1721.784871
56	1720.501535
57	17157	1732.358	17158	1731.173274
59	1728.272924
60	1726.048096
61	1724.060355
62	1722.946158
63	1721.035458
64	1719.297424
65	1717.564951
66	1715.740411
67	1713.763891
68	1712.45018
69	1710.715068
70	1709.554668
71	1707.374583
72	1706.087181
73	1702.161465
74	1699.9562
75	1699.317145
76	1696.927996
77	1694.855746
78	1694.077772
79	1693.550949
80	1692.269552
81	1691.350081
82	1690.544019
83	1688.43808
84	1687.420297
85	1684.593435
86	1683.604913
87	1680.289887
88	1678.608937
89	1677.375909
90	1676.59867
91	1674.067645
92	1673.198987
93	1671.674281
94	1670.84872
95	1669.119254
96	1667.523627
97	1666.462958
98	1664.156464
99	1662.70423
8
