iter	Passed	Remaining
0	9	952
1	16	826
2	23	766
3	30	740
4	41	797
5	48	759
6	54	725
7	61	711
8	68	694
9	75	678
10	83	678
11	91	669
12	98	657
13	106	652
14	113	645
15	120	633
16	128	626
17	135	616
18	143	611
19	150	600
20	159	599
21	170	602
22	177	594
23	185	587
24	192	577
25	201	572
26	207	562
27	214	552
28	223	546
29	230	538
30	238	531
31	249	529
32	257	523
33	264	513
34	273	508
35	280	499
36	288	490
37	296	484
38	304	476
39	311	467
40	320	461
41	328	453
42	336	446
43	344	437
44	355	434
45	363	426
46	373	421
47	382	413
48	390	406
49	406	406
50	416	400
51	426	393
52	434	385
53	444	378
54	452	370
55	464	364
56	473	357
57	482	349
58	490	341
59	503	335
60	512	327
61	522	320
62	534	313
63	542	305
64	556	299
65	566	291
66	573	282
67	581	273
68	588	264
69	597	256
70	604	247
71	621	241
72	628	232
73	635	223
74	644	214
75	651	205
76	658	196
77	669	188
78	676	179
79	690	172
80	695	163
81	702	154
82	709	145
83	715	136
84	722	127
85	728	118
86	734	109
87	741	101
88	747	92
89	754	83
90	760	75
91	766	66
92	773	58
93	781	49
94	792	41
95	799	33
96	806	24
97	815	16
98	823	8
99	829	0
